idx,title,year,poster,status,tmdb_id
56,Kingpin,1996,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0116778.jpg,downloaded,11543
57,Wag the Dog,1997,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0120885.jpg,downloaded,586
58,Swingers,1996,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0117802.jpg,downloaded,10218
59,Bottle Rocket,1996,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0115734.jpg,downloaded,13685
60,Deuce Bigalow: Male Gigolo,1999,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0205000.jpg,downloaded,10402
61,Stepmom,1998,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0120686.jpg,downloaded,9441
62,Go,1999,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0139239.jpg,downloaded,170767
63,Happiness,1998,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0147612.jpg,downloaded,857772
64,That Thing You Do!,1996,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0117887.jpg,downloaded,9591
65,Bowfinger,1999,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0131325.jpg,downloaded,11353
66,Blast from the Past,1999,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0124298.jpg,downloaded,11622
67,Sliding Doors,1998,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0120148.jpg,downloaded,10215
68,The Replacements,2000,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0191397.jpg,downloaded,10393
69,Best in Show,2000,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0218839.jpg,downloaded,13785
70,Half Baked,1998,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0120693.jpg,downloaded,9490
71,Bride of Chucky,1998,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0144120.jpg,downloaded,11932
72,BASEketball,1998,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0131857.jpg,downloaded,14013
73,Wonder Boys,2000,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0185014.jpg,downloaded,11004
74,A Night at the Roxbury,1998,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0120770.jpg,downloaded,9429
75,Jack,1996,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0116669.jpg,downloaded,103634
76,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0116126.jpg,downloaded,10607
77,Buffalo '66,1998,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0118789.jpg,downloaded,9464
